,date,AMZN,isPartial
25,2014-01-26,0.78,False
26,2014-01-27,1.69,False
27,2014-01-28,2.73,False
28,2014-01-29,2.8600000000000003,False
29,2014-01-30,8.06,False
30,2014-01-31,13.0,False
0,2014-02-01,10.790000000000001,False
1,2014-02-02,3.38,False
2,2014-02-03,13.0,False
3,2014-02-04,11.700000000000001,False
4,2014-02-05,8.84,False
5,2014-02-06,6.24,False
6,2014-02-07,9.1,False
7,2014-02-08,4.42,False
8,2014-02-09,2.08,False
9,2014-02-10,6.76,False
10,2014-02-11,6.76,False
11,2014-02-12,8.97,False
12,2014-02-13,7.0200000000000005,False
13,2014-02-14,8.71,False
14,2014-02-15,1.69,False
15,2014-02-16,1.4300000000000002,False
16,2014-02-17,4.03,False
17,2014-02-18,5.8500000000000005,False
18,2014-02-19,7.41,False
19,2014-02-20,8.84,False
20,2014-02-21,7.67,False
21,2014-02-22,1.82,False
22,2014-02-23,1.9500000000000002,False
23,2014-02-24,5.98,False
24,2014-02-25,6.63,False
25,2014-02-26,8.450000000000001,False
26,2014-02-27,7.0200000000000005,False
27,2014-02-28,6.890000000000001,False
0,2014-03-01,2.07,False
1,2014-03-02,2.34,False
2,2014-03-03,3.2399999999999998,False
3,2014-03-04,5.67,False
4,2014-03-05,6.3,False
5,2014-03-06,6.66,False
6,2014-03-07,5.31,False
7,2014-03-08,2.4299999999999997,False
8,2014-03-09,1.08,False
9,2014-03-10,3.33,False
10,2014-03-11,3.5999999999999996,False
11,2014-03-12,3.78,False
12,2014-03-13,9.0,False
13,2014-03-14,6.029999999999999,False
14,2014-03-15,2.61,False
15,2014-03-16,1.08,False
16,2014-03-17,5.58,False
17,2014-03-18,4.2299999999999995,False
18,2014-03-19,2.4299999999999997,False
19,2014-03-20,3.96,False
20,2014-03-21,4.32,False
21,2014-03-22,1.44,False
22,2014-03-23,0.8999999999999999,False
23,2014-03-24,3.96,False
24,2014-03-25,5.67,False
25,2014-03-26,5.22,False
26,2014-03-27,4.95,False
27,2014-03-28,7.199999999999999,False
28,2014-03-29,1.89,False
29,2014-03-30,1.6199999999999999,False
30,2014-03-31,4.859999999999999,False
0,2014-04-01,4.590000000000001,False
1,2014-04-02,5.95,False
2,2014-04-03,6.29,False
3,2014-04-04,6.12,False
4,2014-04-05,2.5500000000000003,False
5,2014-04-06,1.53,False
6,2014-04-07,5.1000000000000005,False
7,2014-04-08,4.590000000000001,False
8,2014-04-09,4.930000000000001,False
9,2014-04-10,5.2700000000000005,False
10,2014-04-11,5.1000000000000005,False
11,2014-04-12,1.36,False
12,2014-04-13,1.7000000000000002,False
13,2014-04-14,4.25,False
14,2014-04-15,4.25,False
15,2014-04-16,5.1000000000000005,False
16,2014-04-17,3.5700000000000003,False
17,2014-04-18,2.5500000000000003,False
18,2014-04-19,1.02,False
19,2014-04-20,0.51,False
20,2014-04-21,4.25,False
21,2014-04-22,5.1000000000000005,False
22,2014-04-23,5.61,False
23,2014-04-24,13.430000000000001,False
24,2014-04-25,17.0,False
25,2014-04-26,5.2700000000000005,False
26,2014-04-27,2.89,False
27,2014-04-28,9.01,False
28,2014-04-29,8.16,False
